deploy_id,leg,date_start,date_stop,time_start,time_stop,moonAlt,moonAz,moonHor,disc_id,depth (m),fish_vial,fish_age (dph),bin_id,batch_id,fish_id,lat_start,lon_start,lat_stop,lon_stop,sky,sea,wind_dir,wind_speed,tide,location,Location_Conservative,start_wp,end_wp,drift_direction,drift_distance,In_Behavior,Out_Behavior,cam_OK,comments,larvae_ok,Success,status,tracking_notes,,
1,6/3/2016,6/3/2016,6/3/2016,9:49:00,10:09:00,82,109,TRUE,B,9,6,9,19,19,1,16'48.842,88'04'373,16'48.947,88'04.389,cloudy,4,100,13.7,ebb,near,near,16,x,315,145,3,3,,fish may be 9 dph,not retrieved,,,,,
2,6/3/2016,6/3/2016,6/3/2016,10:18:00,10:38:00,87,166,TRUE,B,9,3,10,16,16,2,16'48.947,88'04.389,16'49.010,88'04.377,cloudy,4,100,13.2,ebb,near,near,x,x,,,3,3,,fish may be 9 dph,not retrieved,,,,,
3,6/3/2016,6/3/2016,6/3/2016,10:51:00,11:11:00,82,250,TRUE,B,9,5,9,19,19,3,16'49.010,88'04.377,16'49.112,88'04.417,cloudy,4,100,18.6,ebb,near,near,17,x,315,130,3,4,,fish may be 9 dph, larvae looked great, dive boat nearby, pomacentrid outside on larva removal,not retrieved,,
4,6/3/2016,6/3/2016,6/3/2016,11:25:00,11:45:00,75,262,TRUE,B,9,4,10,16,16,4,16'49.112,88'04.417,16'49.976,88'04.336,cloudy,4,100,13.8,ebb,near,near,18,x,315,116,3,3,,fish may be 9 dph, larvae not so healthy, moved DISC after trial, pomacentrid outside on larva drop-off,larva returned to boat,,
5,6/3/2016,6/3/2016,6/3/2016,12:23:00,12:43:00,62,269,TRUE,B,9,6,9,19,19,5,16'49.976,88'04.336,x,x,cloudy,4,100,8.9,ebb,near,near,19,x,,,3,3,,fish may be 9 dph, larvae retrieved not by SCUBA, tide changed but double check archive, finish waypoint was 20,not retrieved,,
6,6/4/2016,6/4/2016,6/4/2016,9:20:00,9:40:00,62,86,TRUE,A,9,9,9,21,21,6,16'48.960,88'04.229,16'48.912,88'04.290,cloudy rain,2,320,8,ebb,far,far,21,x,135,31,3,2,,need to confirm these ages with john, larvae whirling a little, pilot fishes around DISC,larva returned to boat,,,
7,6/4/2016,6/4/2016,6/4/2016,9:50:00,10:10:00,69,87,TRUE,A,9,4,9,21,21,7,16'48.912,88'04.290,16'48.900,88'04.286,cloudy,2,330,8,ebb,far,far,22,x,225,58,3,2,,need to confirm these ages with john, larva upside down at start,larva returned to boat,,,,
8,6/4/2016,6/4/2016,6/4/2016,10:18:00,10:38:00,75,88,TRUE,A,9,60,9,21,21,8,16'48.900,88'04.286,16'48.887,88'04.297,light clouds,2,320,8.3,ebb,far,far,23,x,45,25,3,4,,need to confirm these ages with john, pilot fish around, larvae looked good,larva returned to boat,,,
9,6/4/2016,6/4/2016,6/4/2016,10:46:00,11:06:00,82,90,TRUE,A,9,5,9,21,21,9,16'48.887,88'04.297,16'46.804,88'04.245,clear,2,340,7.6,ebb,far,far,24,x,270,30,3,3,,need to confirm these ages with john, pilot fish around, camera looking foggy,larva returned to boat,,,
10,6/4/2016,6/4/2016,6/4/2016,11:22:00,11:42:00,90,256,TRUE,A,9,3,10,19,19,10,16'46.804,88'04.245,16'48.801,88'04.245,clear,2,40,8.1,ebb,far,far*,25,x,45,100,3,3,,need to confirm these ages with john, changed camera with start/stop of 1113 ON and 1117 STOP,larva returned to boat,,,,
11,6/4/2016,6/4/2016,6/4/2016,11:56:00,12:16:00,82,271,TRUE,A,9,6,9,21,21,11,16'48.801,88'04.245,x,x,clear,2,0,8.8,ebb,far,far,26,x,,,3,3,,need to confirm these ages with john, SHAAAAAAARRRK, also a pomacentrid settler, did not recover larva, wp 27 was DISC pulled up to boat,dead larva captured at dock from DISC,
12,6/5/2016,6/5/2016,6/5/2016,9:25:00,9:45:00,49,82,TRUE,A,9,3,10,21,21,12,16'48.986,88'04.290,16'48.976,88'04.267,cloudy,1,180,8.1,ebb,far,far,29,x,,,3,3,,first deployment 2 larvae 2 DISC larva in at 9:15 wahoo,not retrieved,,,,,
13,6/5/2016,6/5/2016,6/5/2016,9:25:00,9:45:00,49,82,TRUE,B,9,1,10,21,21,13,16'48.986,88'04.290,16'48.976,88'04.267,cloudy,1,180,8.1,ebb,far,far,29,x,,,3,3,,wahoo,not retrieved,,,,,
14,6/5/2016,6/5/2016,6/5/2016,10:01:00,10:21:00,58,83,TRUE,A,9,2,10,21,21,14,16'48.976,88'04.267,16'48.990,88'04.253,cloudy,1,180,8,ebb,far,far,30,x,0,50,3,3,,larva in at 9:56,not retrieved,,,,,
15,6/5/2016,6/5/2016,6/5/2016,10:01:00,10:21:00,58,83,TRUE,B,9,4,10,21,21,15,16'48.976,88'04.267,16'48.990,88'04.253,cloudy,1,180,8,ebb,far,far,30,x,0,50,3,3,,,not retrieved,,,,,
16,6/5/2016,6/5/2016,6/5/2016,10:37:00,10:57:00,66,83,TRUE,A,9,9,10,21,21,16,16'48.990,88'04.253,16'49.015,88'04.244,cloudy,1,190,8,ebb,far,far,32,x,,,3,3,,larva in at 10:29, boat drove by,not retrieved,,,,
17,6/5/2016,6/5/2016,6/5/2016,10:37:00,10:57:00,66,83,TRUE,B,9,60,10,21,21,17,16'48.990,88'04.253,16'49.015,88'04.244,cloudy,1,190,8,ebb,far,far,32,x,,,3,3,,boat drove by, larva inside,,,,,
18,6/5/2016,6/5/2016,6/5/2016,11:10:00,11:30:00,74,83,TRUE,A,9,7,10,21,21,18,16'49.015,88'04.244,16'49.036,88'04.231,cloudy,1,260,8,ebb,far,far,33,x,45,60,3,3,,larva in at 11:04, 32 wp is the same,not retrieved,,,,
19,6/5/2016,6/5/2016,6/5/2016,11:10:00,11:30:00,74,83,TRUE,B,9,8,10,21,21,19,16'49.015,88'04.244,16'49.036,88'04.231,cloudy,1,260,8,ebb,far,far,33,x,45,60,3,3,,32 wp is the same,not retrieved,,,,,
20,6/5/2016,6/5/2016,6/5/2016,11:47:00,12:07:00,82,78,TRUE,A,9,11,10,21,21,20,16'49.036,88'04.231,x,x,mixed,1,200,8,ebb,far,far,34,x,45,35,3,3,,35 wp is the same, wp 36 might be the pick up,not retrieved,,,,
21,6/7/2016,6/7/2016,6/7/2016,9:24:00,9:44:00,22,78,TRUE,A,9,8,18,9,9,21,16'48'955,88'04.299,16'48.879,88'04.332,cloudy,2,260,8,flood,far,far,37,x,225,167,3,4,,larva looks good, in at 9:19,retrieved,,,,
22,6/7/2016,6/7/2016,6/7/2016,9:24:00,9:44:00,22,78,TRUE,B,9,4,18,9,9,22,16'48'955,88'04.299,16'48.879,88'04.332,cloudy,2,260,8,flood,far,far,37,x,225,167,3,4,,larva looks good,retrieved,,,,,
23,6/7/2016,6/7/2016,6/7/2016,10:01:00,10:21:00,31,79,TRUE,A,9,60,18,9,9,23,16'48.879,88'04.332,16'48.793,88'04.355,cloudy,2,260,8,flood,near,near*,38,x,180,119,3,3,,larva in 9:54,retrieved,,,,,
24,6/7/2016,6/7/2016,6/7/2016,10:01:00,10:21:00,31,79,TRUE,B,9,1,18,9,9,24,16'48.879,88'04.332,16'48.793,88'04.355,cloudy,2,260,8,flood,near,near*,38,x,180,119,3,4,,For each of the deployement of DISC B the compass was not working,not retrieved,,,,,
25,6/7/2016,6/7/2016,6/7/2016,10:37:00,10:57:00,39,81,TRUE,A,9,5,18,9,9,25,16'48.793,88'04.355,16'48.710,88'04.360,cloudy,2,250,8,flood,near,near*,39,x,180,150,3,3,,Remoras on the drogue, 10:29 larva in,retrieved,,,,
26,6/7/2016,6/7/2016,6/7/2016,10:37:00,10:57:00,39,81,TRUE,B,9,3,18,9,9,26,16'48.793,88'04.355,16'48.710,88'04.360,cloudy,2,250,8,flood,near,near*,39,x,180,150,3,3,,Remoras on drogue,retrieved,,,,,
27,6/7/2016,6/7/2016,6/7/2016,11:15:00,11:35:00,48,83,TRUE,A,9,11,18,9,9,27,16'48.710,88'04.360,16'48.647,88'04.367,cloudy,2,250,9,ebb,near,near,x,x,,,3,3,,Remoras, larva in at 11:08,retrieved,,,,
28,6/7/2016,6/7/2016,6/7/2016,11:15:00,11:35:00,48,83,TRUE,B,9,2,18,9,9,28,16'48.710,88'04.360,16'48.647,88'04.367,cloudy,2,250,9,ebb,near,near,x,x,,,3,3,,Remoras,retrieved,,,,,
29,6/7/2016,6/7/2016,6/7/2016,11:54:00,12:14:00,56,84,TRUE,A,9,9,18,9,9,29,16'48.647,88'04.367,16'48.564,88'04.348,cloudy,1,250,9,ebb,near,near,40,x,135,221,3,3,,Remoras, larva dead and changed,retrieved,,,,
30,6/7/2016,6/7/2016,6/7/2016,11:54:00,12:14:00,56,84,TRUE,B,9,12,18,9,9,30,16'48.647,88'04.367,16'48.564,88'04.348,cloudy,1,250,9,ebb,near,near,40,x,135,221,3,3,,Remoras, larva does not look great,retrieved dead,,,,
31,6/7/2016,6/7/2016,6/7/2016,12:24:00,12:44:00,63,85,TRUE,A,9,7,18,9,9,31,16'48.564,88'04.348,x,x,cloudy,1,230,9,ebb,far,far*,41,x,,,3,4,,Remoras,retrieved,,,,,
32,6/8/2016,6/8/2016,6/8/2016,9:06:00,9:26:00,5,75,TRUE,A,9,1,19,9,9,32,16'48.921,88'04.305,16'48.769,88'04.319,cloudy,1,x,0,flood,far,far,42,x,180,300,3,4,,larva in at 8:57, great behavior observed,retrieved,,,,
33,6/8/2016,6/8/2016,6/8/2016,9:06:00,9:26:00,5,75,TRUE,B,9,2,19,9,9,33,16'48.921,88'04.305,16'48.769,88'04.319,cloudy,1,x,0,flood,far,far,42,x,180,300,3,4,,great behavior observed,retrieved,,,,,
34,6/8/2016,6/8/2016,6/8/2016,9:46:00,10:06:00,14,78,TRUE,A,9,3,19,9,9,34,16'48.769,88'04.319,16'48.769,88'04.319,cloudy,1,x,0,flood,far,far*,43,x,180,350,3,3,,larva in at 9:37, larva retrieved dead,not retrieved,,,,
35,6/8/2016,6/8/2016,6/8/2016,9:46:00,10:06:00,14,78,TRUE,B,9,4,19,9,9,35,16'48.769,88'04.319,16'48.769,88'04.319,cloudy,1,x,0,flood,far,far*,43,x,180,350,3,3,,,retrieved,,,,,
36,6/8/2016,6/8/2016,6/8/2016,10:25:00,10:45:00,24,80,TRUE,A,9,6,19,9,9,36,16'48.769,88'04.319,16'48.409,88'04.379,cloudy,1,x,0,flood,near,near*,44,x,180,360,3,3,,larva in 10:18,retrieved,,,,,
37,6/8/2016,6/8/2016,6/8/2016,10:25:00,10:45:00,24,80,TRUE,B,9,5,19,9,9,37,16'48.769,88'04.319,16'48.409,88'04.379,cloudy,1,x,0,flood,near,near*,44,x,180,360,3,3,,,retrieved,,,,,
38,6/8/2016,6/8/2016,6/8/2016,11:06:00,11:26:00,33,82,TRUE,A,9,7,19,9,9,38,16'48.409,88'04.379,16'48.208,88.04.404,cloudy,1,x,0,flood,near,near*,45,x,180,340,3,3,,larva in 10:59, camera replaced bc of fog and empty battery,retrieved,,,,
39,6/8/2016,6/8/2016,6/8/2016,11:06:00,11:26:00,33,82,TRUE,B,9,8,19,9,9,39,16'48.409,88'04.379,16'48.208,88.04.404,cloudy,1,x,0,flood,near,near*,45,x,180,340,3,3,,,retrieved,,,,,
40,6/8/2016,6/8/2016,6/8/2016,11:46:00,12:06:00,42,84,TRUE,A,9,11,19,9,9,40,16'48.208,88.04.404,16'47.980,88'04.333,cloudy,1,x,0,flood,near,near*,46,x,180,450,3,3,,larva in 11:38,retrieved,,,,,
41,6/8/2016,6/8/2016,6/8/2016,11:46:00,12:06:00,42,84,TRUE,B,9,9,19,9,9,41,16'48.208,88.04.404,16'47.980,88'04.333,cloudy,1,x,0,flood,near,near*,46,x,180,450,3,3,,,not retrieved,,,,,
42,6/8/2016,6/8/2016,6/8/2016,12:25:00,12:45:00,51,86,TRUE,A,9,12,19,9,9,42,16'47.980,88'04.333,16'47.748,88'04.393,cloudy,1,x,0,ebb,near,near*,47,x,135,540,3,3,,larva in 12:18, was dead,retrieved dead,,,,
43,6/8/2016,6/8/2016,6/8/2016,12:25:00,12:45:00,51,86,TRUE,B,9,43,19,9,9,43,16'47.980,88'04.333,16'47.748,88'04.393,cloudy,1,x,0,ebb,near,near*,47,x,135,540,3,3,,was dead when deployed likely,retrieved dead,,,,,
44,6/8/2016,6/8/2016,6/8/2016,1:20:00,1:40:00,64,90,TRUE,B,9,60,19,9,9,44,16'47.748,88'04.393,16'47.421,88'04.299,cloudy,1,x,0,ebb,far,far*,48,x,,,3,3,,,retrieved,,,,,
45,6/9/2016,6/9/2016,6/9/2016,9:11:00,9:31:00,-3,75,FALSE,A,18,8,20,9,9,45,16'48.961,88'04.317,16'48.892,88'04.358,cloudy,1,130,8,flood,near,near,49,x,225,220,3,5,,great in/out behavior, larva in at 8:59, 9:03 drop time,retrieved,,,
46,6/9/2016,6/9/2016,6/9/2016,9:11:00,9:31:00,-3,75,FALSE,B,18,4,20,9,9,46,16'48.961,88'04.317,16'48.892,88'04.358,cloudy,1,130,8,flood,near,near,49,x,225,220,3,5,,great in/out behavior, larva in 9:07,retrieved,,,,
47,6/9/2016,6/9/2016,6/9/2016,10:03:00,10:23:00,7,79,TRUE,A,18,2,20,9,9,47,16'48.892,88'04.358,16'48.776,88'04.403,cloudy,1,100,8,flood,near,near,50,x,225,210,3,5,,great in/out behavior, larva in 9:49,retrieved,,,,
48,6/9/2016,6/9/2016,6/9/2016,10:03:00,10:23:00,7,79,TRUE,B,18,1,20,9,9,48,16'48.892,88'04.358,16'48.776,88'04.403,cloudy,1,100,8,flood,near,near,50,x,225,210,3,5,,great in/out behavior,,retrieved,,,,
49,6/9/2016,6/9/2016,6/9/2016,10:51:00,11:11:00,17,82,TRUE,A,18,12,20,9,9,49,16'48.776,88'04.403,16'48.671,88'04.444,mixed,1,x,0,flood,near,near,51,x,180,85,3,5,,great in/out behavior, larva in 10:34, drop 10:36, pickup wp 52,retrieved,,
50,6/9/2016,6/9/2016,6/9/2016,10:51:00,11:11:00,17,82,TRUE,B,18,3,20,9,9,50,16'48.776,88'04.403,16'48.671,88'04.444,mixed,1,x,0,flood,near,near,51,x,180,85,3,5,,great in/out behavior, larva in 10:48, pickup wp 52,retrieved,,,
51,6/10/2016,6/10/2016,6/10/2016,9:31:00,9:51:00,-13,76,FALSE,A,18,11,21,9,9,51,16'49.404,88'04.161,16'49.046,88'04.175,light clouds,1,0,5,flood,far,far,53,x,197,200,3,3,,lost balance at start but good out behavior, larva in 9:20, drop 9:24,not retrieved,,,
52,6/10/2016,6/10/2016,6/10/2016,9:31:00,9:51:00,-13,76,FALSE,B,18,12,21,9,9,52,16'49.404,88'04.161,16'49.046,88'04.175,light clouds,1,0,5,flood,far,far,53,x,197,200,3,5,,great in/out, larva in 9:28,not retrieved,,,,
53,6/10/2016,6/10/2016,6/10/2016,10:19:00,10:39:00,-1,79,FALSE,B,9,7,21,9,9,53,16'49.046,88'04.175,16'48.893,88'04.167,light clouds,1,x,0,flood,far,far,54,x,178,270,3,4,,good in behavior but dead at the end,not retrieved,,,,,
54,6/10/2016,6/10/2016,6/10/2016,11:03:00,11:23:00,-1,79,FALSE,A,9,2,21,9,9,54,16'48.893,88'04.167,16'48.751,88'04.178,clear,1,350,5,flood,far,far,55,x,196,190,3,4,,great in/out behavior,retrieved,,,,,
55,6/10/2016,6/10/2016,6/10/2016,11:03:00,11:23:00,8,83,TRUE,B,9,1,21,9,9,55,16'48.893,88'04.167,16'48.751,88'04.178,clear,1,350,5,flood,far,far,55,x,196,190,3,3,,great in but not good out behavior, larva in at 10:58,retrieved,,,,
56,6/10/2016,6/10/2016,6/10/2016,11:43:00,12:03:00,17,85,TRUE,A,9,9,21,9,9,56,16'48.751,88'04.178,16'48.620,88'04.201,clear,1,10,5,flood,far,far,56,x,191,249,3,5,,great behavior observed, larva in 11:33,retrieved,,,,
57,6/10/2016,6/10/2016,6/10/2016,11:43:00,12:03:00,17,85,TRUE,B,9,4,21,9,9,57,16'48.751,88'04.178,16'48.620,88'04.201,clear,1,10,5,flood,far,far,56,x,191,249,3,5,,great behavior,retrieved,,,,,
58,6/10/2016,6/10/2016,6/10/2016,12:23:00,12:43:00,26,88,TRUE,A,9,3,21,9,9,58,16'48.620,88'04.201,16'48.526,88'04.245,clear,1,30,5,flood,far,far,57,x,190,339,3,5,,great in/out behavior, larva in 12:06,retrieved,,,,
59,6/10/2016,6/10/2016,6/10/2016,12:23:00,12:43:00,26,88,TRUE,B,9,6,21,9,9,59,16'48.620,88'04.201,16'48.526,88'04.245,clear,1,30,5,flood,far,far,57,x,190,339,3,5,,great in/out,retrieved,,,,,
60,6/10/2016,6/10/2016,6/10/2016,12:55:00,13:15:00,34,90,TRUE,B,9,8,21,9,9,60,16'48.526,88'04.245,x,x,,1,30,5,flood,far,far,58,x,,,3,5,,great in/out behavior, wp 59 was pick up and DISC out,,,,,
61,6/11/2016,6/11/2016,6/11/2016,10:09:00,10:29:00,-16,79,FALSE,A,18,5,22,9,9,61,16'49.044,88'04.121,16'49.013,88'04.142,cloudy,3,150,8,flood,far,far,60,x,199,98,3,3,,larva in 9:57, drop at 10:02, ok and behavior bad, many fishes nearby,retrieved,,
62,6/11/2016,6/11/2016,6/11/2016,10:09:00,10:29:00,-16,79,FALSE,B,18,43,22,9,9,62,16'49.013,88'04.142,16'49.013,88'04.142,cloudy,3,150,8,flood,far,far,60,x,199,98,3,3,,larva in 10:06, good and behavior bad, out behavior,retrieved,,,
63,6/11/2016,6/11/2016,6/11/2016,10:59:00,11:19:00,-4,83,FALSE,A,18,12,22,9,9,63,16'49.013,88'04.142,16'48.985,88'04.190,light clouds,3,150,,flood,far,far,61,x,249,33,3,5,,larva in 10:43, drop 10:46, great behavior, many fishes nearby,retrieved,,
64,6/11/2016,6/11/2016,6/11/2016,10:59:00,11:19:00,-4,83,FALSE,B,18,3,22,9,9,64,16'49.013,88'04.142,16'48.985,88'04.190,light clouds,3,150,,flood,far,far,61,x,249,33,3,5,,larva in 10:56, great behavior,not retrieved,,,,
65,6/11/2016,6/11/2016,6/11/2016,11:51:00,12:11:00,7,86,TRUE,A,18,9,22,9,9,65,16'48.985,88'04.190,16'48.887,88'04.127,cloudy,2,120,8,flood,far,far,x,x,149,210,3,5,,drop 11:35, great behavior,retrieved,,,,
66,6/11/2016,6/11/2016,6/11/2016,11:51:00,12:11:00,7,86,TRUE,B,18,11,22,9,9,66,16'48.985,88'04.190,16'48.887,88'04.127,cloudy,2,120,8,flood,far,far,x,x,149,210,3,3,,,retrieved,,,,,
67,6/11/2016,6/11/2016,6/11/2016,12:36:00,12:56:00,18,89,TRUE,A,18,6,22,9,9,67,16'48.887,88'04.127,x,x,mixed,2,120,8,flood,far,far,62,x,,,3,5,,great behavior, lot of fishes nearby,retrieved,,,,
68,6/11/2016,6/11/2016,6/11/2016,12:36:00,12:56:00,18,89,TRUE,B,18,8,22,9,9,68,16'48.887,88'04.127,x,x,mixed,2,120,8,flood,far,far,62,x,,,3,5,,great behavior, lot of fishes nearby,retrieved,,,,
69,6/13/2016,6/13/2016,6/13/2016,9:14:00,9:34:00,-50,71,FALSE,A,18,4,19,20,20,69,16'49.090,88'04.437,16'49.073,88'04.482,clear,4,140,14,ebb,near,near,63,x,248,123,2,3,,larva in 9:03, dropped 9:06, behavior in 2 whirling, behavior out 3,retrieved alive,,
70,6/13/2016,6/13/2016,6/13/2016,9:14:00,9:34:00,-50,71,FALSE,B,18,2,21,18,18,70,16'49.090,88'04.437,16'49.073,88'04.482,clear,4,140,14,ebb,near,near,63,x,248,123,5,,,larva in 9:11, 9:30 boat nearby, 5 behavior mid water, not retrieved,not retrieved,,
71,6/13/2016,6/13/2016,6/13/2016,10:03:00,10:23:00,-39,78,FALSE,A,18,1,21,18,18,71,16'49.073,88'04.482,16'49.043,88'04.545,clear,4,140,14,ebb,near,near,64,x,227,151,2,2,,larva in 9:52, dropped 9:55, behavior 2 whirling,retrieved alive,,,
72,6/13/2016,6/13/2016,6/13/2016,10:03:00,10:23:00,-39,78,FALSE,B,18,8,19,20,20,72,16'49.073,88'04.482,16'49.043,88'04.545,clear,4,140,14,ebb,near,near,64,x,227,151,5,5,,larva in 10:01, behavior 5 mid water,retrieved alive,,,,
73,6/13/2016,6/13/2016,6/13/2016,10:51:00,11:11:00,-29,83,FALSE,A,18,6,19,20,20,73,16'49.043,88'04.545,16'49.080,88'04.264,clear,4,130,14,ebb,near,near,65,x,,,2,2,,larva in 10:37, drop 10:40, behavior 2 whirling, divers in 1 min before trial, on the wall at 11:09,not retrieved,
74,6/13/2016,6/13/2016,6/13/2016,10:51:00,11:11:00,-29,83,FALSE,B,18,11,21,18,18,74,16'49.043,88'04.545,16'49.080,88'04.264,clear,4,130,14,ebb,near,near,65,x,,,2,2,,larva in 10:48,  behavior 2 whirling, divers in 1 min before trial, on the wall at 11:09,not retrieved,,
75,6/13/2016,6/13/2016,6/13/2016,12:02:00,12:22:00,-13,88,FALSE,A,18,43,21,18,18,75,16'49.080,88'04.264,16'49.017,88'04.304,clear,4,100,12,flood,near,near,x,x,,,2,0,,larva in 11:44, drop 11:51, behavior 2 whirling,retrieved dead,,,
76,6/13/2016,6/13/2016,6/13/2016,12:02:00,12:22:00,-13,88,FALSE,B,18,60,18,18,21,76,16'49.080,88'04.264,16'49.017,88'04.304,clear,4,105,12,flood,near,near,x,x,,,3,3,,larva in 11:54, behavior 3 lost balance,retrieved dead,,,,
77,6/13/2016,6/13/2016,6/13/2016,12:48:00,13:08:00,-1,92,FALSE,A,18,12,19,20,20,77,16'49.017,88'04.304,x,x,clear,4,105,12,flood,near,near,67,x,195,40,2,0,,larva in 12:33, larva dropped 12:36, behavior 2 whirling, school of small jacks around,retrieved dead,,
78,6/13/2016,6/13/2016,6/13/2016,12:48:00,13:08:00,-1,92,FALSE,B,18,5,19,20,20,78,16'49.017,88'04.304,x,x,clear,4,105,12,flood,near,near,67,x,195,40,2,0,,behavior 2 whirling,retrieved dead,,,,,
79,6/14/2016,6/14/2016,6/14/2016,9:20:00,9:40:00,-60,71,FALSE,A,18,60,22,17,17,79,16'49.066,88'04.358,16'48.597,88'04.379,clear,3,110,12,ebb,near,near,69,x,213,149,5,4,,larva in 9:09, drop 9:12,retrieved,,,,
80,6/14/2016,6/14/2016,6/14/2016,9:20:00,9:40:00,-60,71,FALSE,B,18,43,22,17,17,80,16'49.066,88'04.358,16'48.597,88'04.379,clear,3,110,12,ebb,near,near,69,x,213,149,5,4,,larva in 9:17,retrieved,,,,,
81,6/14/2016,6/14/2016,6/14/2016,10:07:00,10:27:00,-49,78,FALSE,A,18,12,22,17,17,81,16'48.597,88'04.379,16'48.888,88'04.633,clear,2,80,10,ebb,near,near,70,x,218,137,5,5,,larva in 9:51, drop 9:53,,,,,
82,6/14/2016,6/14/2016,6/14/2016,10:07:00,10:27:00,-49,78,FALSE,B,18,2,22,17,17,82,16'48.597,88'04.379,16'48.888,88'04.633,clear,2,80,10,ebb,near,near,70,x,218,137,5,5,,larva in 10:04,retrieved,,,,,
83,6/14/2016,6/14/2016,6/14/2016,10:56:00,11:16:00,-39,83,FALSE,A,18,5,22,17,17,83,16'48.888,88'04.633,x,x,mixed,2,100,10,ebb,near,near,71,x,229,99,4,3,,gps glitch,retrieved,,,,,
84,6/14/2016,6/14/2016,6/14/2016,10:56:00,11:16:00,-39,83,FALSE,B,18,8,22,17,17,84,16'48.888,88'04.533,x,x,mixed,2,100,10,ebb,near,near,71,x,229,99,4,4,,gps glitch,retrieved,,,,,
85,6/14/2016,6/14/2016,6/14/2016,11:42:00,12:02:00,-28,87,FALSE,A,18,1,22,17,17,85,x,x,x,x,mixed,2,100,8,ebb,near,near,72,x,234,96,3,3,,gps glitch, lava in 11:26, drop 11:30,retrieved,,,
86,6/14/2016,6/14/2016,6/14/2016,11:42:00,12:02:00,-28,87,FALSE,B,18,4,22,17,17,86,x,x,x,x,mixed,2,100,8,ebb,near,near,72,x,234,96,3,3,,gps glitch, larva in 11:39,retrieved,,,,
87,6/14/2016,6/14/2016,6/14/2016,12:29:00,12:49:00,-17,91,FALSE,A,18,6,22,17,17,87,x,x,16'48.842,88'04.503,clear,2,100,10,flood,near,near,73,x,318,52,5,4,,gps entry glitch, larva in 12:13, drop 12:17,retrieved,,,
88,6/14/2016,6/14/2016,6/14/2016,12:29:00,12:49:00,-17,91,FALSE,B,18,11,22,17,17,88,x,x,16'48.842,88'04.503,clear,2,100,10,flood,near,near,73,x,318,52,3,3,,gps entry glitch, larva in 12:26, wp 74 is end of day,retrieved,,,
89,6/16/2016,6/16/2016,6/16/2016,9:05:00,9:25:00,-84,36,FALSE,A,18,1,24,17,17,89,16'49.108,88'04.356,16'49.095,88'04.384,mixed,2,120,10,ebb,near,near,75,x,,,4,4,,gps battery out no WP, larva in 8:52, drop 8:59, filefish around,,,
90,6/16/2016,6/16/2016,6/16/2016,9:05:00,9:25:00,-84,36,FALSE,B,18,2,24,17,17,90,16'49.108,88'04.356,16'49.095,88'04.384,mixed,2,120,10,ebb,near,near,75,x,,,5,5,,gps battery out no WP, larva in 9:01, filefish around,,,,
91,6/16/2016,6/16/2016,6/16/2016,9:50:00,10:10:00,-75,72,FALSE,A,18,60,24,17,17,91,16'49.095,88'04.384,16'49.089,88'04.411,mixed,2,120,10,ebb,near,near,75,x,187,42,2,2,,larva 9:35, drop 9:38, filefish around,,,,
92,6/16/2016,6/16/2016,6/16/2016,9:50:00,10:10:00,-75,72,FALSE,B,18,5,24,17,17,92,16'49.095,88'04.384,16'49.089,88'04.411,mixed,2,120,10,ebb,near,near,75,x,187,42,2,2,,larva in 9:47, filefish around,,,,,
93,6/16/2016,6/16/2016,6/16/2016,10:36:00,10:56:00,-65,82,FALSE,A,18,43,24,17,17,93,16'49.089,88'04.411,16'49.083,88'04.449,mixed,2,120,10,ebb,near,near,76,x,259,81,3,4,,larva in in 10:22, drop 10:25, filefish around,,,,
94,6/16/2016,6/16/2016,6/16/2016,10:36:00,10:56:00,-65,82,FALSE,B,18,6,24,17,17,94,16'49.089,88'04.411,16'49.083,88'04.449,mixed,2,120,10,ebb,near,near,76,x,259,81,2,1,,larva in 10:33, filefish around,,,,,
95,6/16/2016,6/16/2016,6/16/2016,11:27:00,11:47:00,-53,88,FALSE,A,18,8,24,17,17,95,16'49.083,88'04.449,x,x,mixed,2,105,10,ebb,near,near,77,x,266,89,4,3,,larva in 11:09, drop 11:13, filefish around, en wp 78,,,
96,6/16/2016,6/16/2016,6/16/2016,11:27:00,11:47:00,-53,88,FALSE,B,18,4,24,17,17,96,16'49.083,88'04.449,x,x,mixed,2,105,10,ebb,near,near,77,x,266,89,4,3,,larva in 11:23, filefish around, end wp 78,,,,
97,6/18/2016,6/18/2016,6/18/2016,9:15:00,9:35:00,-75,269,FALSE,A,18,1,24,20,20,97,16'49.137,88'04.318,16'49.186,88'04.322,rain,2,120,2,ebb,near,near,78,x,,,4,4,,"Larva in 9:04; drop 9:07; some fishes around, no record, camera A problem",retrieved alive,,,,,
98,6/18/2016,6/18/2016,6/18/2016,9:15:00,9:35:00,-75,269,FALSE,B,18,2,24,20,20,98,16'49.137,88'04.318,16'49.186,88'04.322,rain,2,120,2,ebb,near,near,78,x,,,5,3,,Larva in 9:13,retrieved alive,,,,,
99,6/18/2016,6/18/2016,6/18/2016,10:04:00,10:24:00,-87,275,FALSE,A,18,3,24,20,20,99,16'49.186,88'04.322,16'49.279,88'04.328,cloudy,2,120,2,ebb,near,near,79,x,347,171,4,2,,"Larva in 9:46; drop 9:49; no record, camera A problem",not retrieved,,,,,
