"","trackNb","rotation","n","mean","se.mean","kappa","se.kappa","variance","r","p.value","signif","dir.n","dir.mean","dir.se.mean","dir.kappa","dir.se.kappa","dir.variance","dir.r","dir.p.value","dir.signif","turn.n","turn.abs.mean","turn.freq.gt45","speed.n","speed.mean","speed.sd","speed.median","speed.mad","bin.angle","deploy_id","fileName"
"64",1,"rotated",604,159.719167076764,3.5977135498697,0.966586170971731,0.0676437373963096,0.564524035168593,0.435475964831407,1.79877849097338e-50,TRUE,601,358.678432249048,62.7769509883683,0.0526593413425783,0.0577169684308923,0.973679451651867,0.0263205483481331,0.659445775733153,FALSE,598,49.6187549353762,0.438127090301003,601,0.54380366318929,0.234251790252987,0.528647817959054,0.235217237620536,0,180,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/180/stats.csv"
"66",1,"rotated",630,190.04524391143,7.12961107628694,0.458658755986984,0.0585675081040485,0.776486255369378,0.223513744630622,2.14342080002737e-14,TRUE,630,130.128120555718,25.1003694640017,0.12874678356605,0.0565187401418126,0.935759618532568,0.0642403814674319,0.0742809491199891,FALSE,630,49.8662593020843,0.447619047619048,630,0.642226728438655,0.342902857571506,0.584027131572974,0.290277182457452,0,181,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/181/stats.csv"
"68",1,"rotated",624,159.063195301269,4.82302708180806,0.692009521996719,0.0617038906383187,0.673030389646909,0.326969610353091,1.06574385834151e-29,TRUE,616,138.716574368756,30.1242510236075,0.108455080257444,0.0571059616283902,0.945852034800394,0.0541479651996062,0.164291446537942,FALSE,608,35.3971408148446,0.271381578947368,616,0.639021380144048,0.295867758018874,0.606366113290248,0.305141344027491,0,183,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/183/stats.csv"
"70",1,"rotated",607,25.5886398221478,4.43109597547837,0.768500397468451,0.0637672781488376,0.641300207349565,0.358699792650435,1.20672445219967e-34,TRUE,607,24.3452092426602,125.084695201626,0.0262940736511031,0.0574085989200281,0.986854099240525,0.0131459007594752,0.900415885839109,FALSE,607,49.4232094607698,0.436573311367381,607,0.668114408493448,0.298697966597156,0.650443251630946,0.302314212951633,0,189,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/189/stats.csv"
"72",1,"rotated",437,140.797867506088,11.6759466994072,0.334274291098465,0.0690688966316521,0.835153380243847,0.164846619756153,6.96079883070175e-06,TRUE,437,246.895357355968,35.0764412424913,0.110589253947705,0.0678061477074978,0.944789732010437,0.0552102679895628,0.263935135951829,FALSE,437,41.412695201766,0.368421052631579,437,0.756662179626148,0.35580402440503,0.71780707962931,0.333140754230944,0,193,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/193/stats.csv"
"74",1,"rotated",436,306.169769854372,4.00807410768269,1.0276237697619,0.0811662376646236,0.542441670964192,0.457558329035808,2.27642777925438e-40,TRUE,435,247.468738641209,42.1869638868377,0.0921393120053224,0.0679142883519684,0.953979164172655,0.0460208358273454,0.39800367556291,FALSE,434,44.5914197062353,0.387096774193548,435,0.620253335898768,0.290723972248224,0.609858807924439,0.301662534472734,0,195,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/195/stats.csv"
"76",1,"rotated",311,7.25330090115231,4.398239825478,1.11987598814469,0.0990889117703446,0.510443539172394,0.489556460827606,4.26025388391969e-33,TRUE,298,270.347277517538,103.906011334189,0.0451797910602795,0.0819545465352876,0.977415866358509,0.0225841336414905,0.858994429816706,FALSE,286,70.4481125903333,0.583916083916084,298,0.47085416489147,0.469815006078598,0.38318114232398,0.236334723394619,0,199,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/199/stats.csv"
"78",1,"rotated",408,330.511403015313,4.87390169008951,0.859120423187564,0.0797203673656896,0.605203420221676,0.394796579778324,2.41025397732241e-28,TRUE,408,206.465813938034,92.0412890237379,0.0435889511080727,0.0700389468109477,0.978210698985297,0.0217893010147031,0.823898740313213,FALSE,408,51.5616874715481,0.419117647058824,408,0.423850689104975,0.3399620669651,0.341673510622713,0.316859014337297,0,201,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/201/stats.csv"
"80",1,"rotated",360,77.7945597031925,10.3797026462406,0.415826467090832,0.0769534547785257,0.79644921541424,0.20355078458576,3.32757484862503e-07,TRUE,340,229.798984936601,30.1112596240254,0.146132765736729,0.0770036159291964,0.927127960804625,0.0728720391953751,0.164390005367883,FALSE,323,51.4693690156716,0.479876160990712,340,0.757517325233812,0.338279493487805,0.727502612093434,0.322620011004247,0,204,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/204/stats.csv"
"82",1,"rotated",405,62.7142471204535,2.24721409907051,2.20331863355735,0.133439559498039,0.270546129734198,0.729453870265802,2.56332298789242e-94,TRUE,400,308.284626516482,21.6072771762209,0.187915487724218,0.0711789130933476,0.906454537493924,0.0935454625060757,0.0301882826325265,TRUE,396,49.9945331382213,0.441919191919192,400,0.620558176129708,0.320083679484848,0.596199603922442,0.329281781674601,0,206,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/206/stats.csv"
