"","deploy_id","leg","date_start","date_stop","time_start","time_stop","disc_id","depth..m.","fish_vial","bin_id","batch_id","fish_age..dph.","lat_start","lon_start","lat_stop","lon_stop","sky","sea","wind_dir","wind_speed","tide","location","start_wp","end_wp","drift_direction","drift_distance","In_Behavior","Out_Behavior","n","mean","se.mean","kappa","se.kappa","variance","r","p.value","signif","turn.n","turn.abs.mean","turn.freq.gt45","speed.n","speed.mean","speed.sd","speed.median","meanTemp","maxTemp","minTemp","meanLight","maxLight","minLight","rotationRange","art","current_strength","current_bearing","wind_bearing","zenith","azimuth","azmean","lat","lon","tran_lat","tran_lon","tran_ang","tran_bearing","lab_lat","lab_lon","lab_ang","lab_bearing","moonAlt","moonAz","moonHor","moon_bearing"
"113","184","2016-07-11-1","7/11/2016","7/11/2016","10:50:00","11:10:00","B","18",3,"11","40",18,16.8194666666667,-88.0724,16.8211,-88.0726833333333,"light clouds","3",90,3,"flood","near","158","159",351,18,"5","5",631,249.112636865071,2.96797339169956,1.1718716578206,0.0708250343605904,0.493120982517873,0.506879017482127,3.90798577856402e-71,TRUE,590,51.0198539189407,0.43728813559322,610,0.709866919276335,0.363413120681555,0.677176674329787,85.763,85.915,85.735,869.511111111111,1152,480,92.8111288480409,FALSE,1.2,-101.887363134929,159.112636865071,14.5624490136876,67.3745452082067,-181.738091656864,16.8202833333333,-88.0725416666667,16.8175333,-88.0766,235.877401057845,-13.2352358072259,16.8154833,-88.0816,242.080772441422,-7.03186442364895,-10,91,FALSE,158.112636865071
"114","186","2016-07-11-1","7/11/2016","7/11/2016","11:36:00","11:56:00","B","18",4,"21","41",18,16.82165,-88.0726666666667,NA,NA,"mixed","3",90,3,"flood","near","160","161",346,6,"5","5",651,301.300921551634,9.12730572505301,0.350589369121188,0.0567053047841694,0.827342748430514,0.172657251569486,3.7307641280182e-09,TRUE,628,58.472728590373,0.501592356687898,639,0.559297377127216,0.266917285293233,0.542063669870542,85.9170222222222,86.097,85.915,1171.91111111111,1664,800,61.3796998918452,FALSE,0.4,-44.699078448366,211.300921551634,5.78586516881882,28.6344560445382,-272.666465507096,16.82165,-88.0726666666667,16.8175333,-88.0766,223.695120978726,-77.6058005729085,16.8154833,-88.0816,235.382594510334,-65.9183270413002,1,94,TRUE,207.300921551634
"115","192","7/13/2016","7/13/2016","7/13/2016","13:02:00","13:22:00","B","18",5,"21","41",20,16.8198666666667,-88.073,16.8204166666667,-88.0736,"mixed","3",80,3,"flood","near","166","167",324,129,"4","5",579,149.744264024277,15.1993370226153,0.222232405522748,0.0593170428886073,0.889564084970949,0.110435915029051,0.000857459269576951,TRUE,495,44.0175126905351,0.395959595959596,536,1.02945512373026,0.425260818937483,0.994905398651959,85.9636222222222,86.097,85.735,760.177777777778,1024,304,234.019420119283,FALSE,8.6,-174.255735975723,69.744264024277,18.047724174978,288.159145603768,138.414881579491,16.8201416666667,-88.0733,16.8175333,-88.0766,231.676657095972,81.9323930716952,16.8154833,-88.0816,240.696724749551,90.9524607252742,-1,101,FALSE,48.744264024277
"116","198","7/14/2016","7/14/2016","7/14/2016","9:12:00","9:32:00","B","9",1,"12","46",18,16.8189166666667,-88.0721333333333,16.8194833333333,-88.0720333333333,"mixed","1",75,2,"ebb","near","173","174",1,102,"5","5",484,239.55164189971,2.96075364107302,1.37359427367095,0.0870578642365143,0.435071400763189,0.564928599236811,8.24769990048191e-68,TRUE,418,80.1119835078629,0.672248803827751,446,0.452802934516506,0.308692019581466,0.382770227979783,86.0626222222222,86.097,85.915,1653.68888888889,2304,992,101.339096054549,FALSE,6.8,238.55164189971,164.55164189971,37.1085521322633,76.5227954337752,-163.028846465935,16.8192,-88.0720833333333,16.8175333,-88.0766,249.745380926882,10.193739027172,16.8154833,-88.0816,248.667047574052,9.11540567434182,-65,85,FALSE,154.55164189971
"117","202","7/14/2016","7/14/2016","7/14/2016","10:50:00","11:10:00","B","9",4,"12","46",18,16.8202666666667,-88.0726166666667,16.82085,-88.0729,"light clouds","2",80,2,"ebb","near","178","179",335,120,"5","4",118,165.958644042708,40.1559132066266,0.18615915528201,0.131034960007148,0.907321295885208,0.0926787041147919,0.362931060339116,FALSE,118,32.9954713117599,0.288135593220339,118,0.963552875738533,0.384100176393889,0.956026780613194,85.448,85.554,85.374,493.511111111111,608,432,44.2991859725159,TRUE,8,-169.041355957292,85.958644042708,14.5080583001326,69.2246525680416,-96.7339914746664,16.8205583333333,-88.0727583333333,16.8175333,-88.0766,231.782137896884,65.823493854176,16.8154833,-88.0816,240.144582256619,74.1859382139114,-43,93,FALSE,72.958644042708
"118","205","7/15/2016","7/15/2016","7/15/2016","8:50:00","9:10:00","B","9",4,"21","41",22,16.8182,-88.0743833333333,16.8187166666667,-88.0740666666667,"mixed","2",90,2,"ebb","near","182","183",28,125,"5","5",648,240.185149704655,2.03711726862237,1.82875252038073,0.0902779708144641,0.331047257440963,0.668952742559037,1.15854580880328e-126,TRUE,616,39.8867297802004,0.342532467532468,632,0.727767521048267,0.356790235928295,0.697923654678815,86.6046,86.641,86.459,1453.51111111111,2560,768,150.435412851885,FALSE,8.33333333333333,212.185149704655,150.185149704655,42.2565380787158,76.6575765832048,-163.52757312145,16.8184583333333,-88.074225,16.8175333,-88.0766,248.719697339627,8.53454763497191,16.8154833,-88.0816,248.031130148182,7.8459804435272,-82,83,FALSE,157.185149704655
"119","207","7/15/2016","7/15/2016","7/15/2016","9:26:00","9:46:00","B","9",60,"21","41",22,16.8194333333333,-88.07425,16.8198333333333,-88.07415,"mixed","2",90,2,"ebb","near","184","185",12,98,"5","5",672,106.84627824222,2.96545894946709,1.13137196623028,0.0676746625744328,0.50657003465502,0.49342996534498,8.77742307324518e-72,TRUE,668,50.924307369467,0.413173652694611,670,0.52087712115768,0.347486377589054,0.462069128399812,86.6996444444444,86.823,86.641,1549.86666666667,2816,704,181.673953131343,FALSE,6.53333333333333,94.84627824222,16.84627824222,33.8709920968731,76.7367453451191,-30.1095328971009,16.8196333333333,-88.0742,16.8175333,-88.0766,228.813624133092,121.967345890872,16.8154833,-88.0816,240.715624112992,133.869345870772,-74,89,FALSE,17.84627824222
"120","209","7/15/2016","7/15/2016","7/15/2016","10:01:00","10:21:00","B","9",5,"21","41",22,16.8205333333333,-88.0742833333333,16.8210166666667,-88.07415,"clear","1",90,2,"ebb","near","186","187",14,109,"5","5",614,299.999005406838,6.91711561598406,0.479426576045725,0.0595344486397144,0.76690576944118,0.23309423055882,3.24905218540709e-15,TRUE,579,55.8040361264977,0.511226252158895,594,0.592997645735413,0.342658199449229,0.527797874899942,86.7259333333333,86.823,86.459,1861.68888888889,2944,1024,145.72246462835,FALSE,7.26666666666667,285.999005406838,209.999005406838,25.7309299956094,75.8033845856443,-224.195620821194,16.820775,-88.0742166666667,16.8175333,-88.0766,216.323732855457,-83.675272551381,16.8154833,-88.0816,234.370497701138,-65.6285077057001,-65,91,FALSE,208.999005406838
"121","211","7/15/2016","7/15/2016","7/15/2016","10:41:00","11:01:00","B","9",9,"21","41",22,16.8219333333333,-88.0741333333333,16.8226,-88.0739666666667,"mixed","2",80,2,"ebb","near","188","189",14,123,"4","4",547,253.311361157544,9.61647618997653,0.363212208845776,0.0619637478011617,0.821322000038598,0.178677999961402,2.60453200988252e-08,FALSE,466,75.0758262233429,0.609442060085837,503,0.620797377229025,0.610564934244057,0.398421224031543,86.9356,87.004,86.641,2042.66666666667,3200,576,180.512671700426,TRUE,8.2,239.311361157544,173.311361157544,16.5214471766661,71.7819142955662,-181.529446861978,16.8222666666667,-88.07405,16.8175333,-88.0766,208.312616637176,-44.9987445203677,16.8154833,-88.0816,228.061600340194,-25.2497608173501,-56,94,FALSE,159.311361157544
"122","212","7/15/2016","7/15/2016","7/15/2016","11:16:00","11:36:00","B","9",1,"21","41",22,16.8231,-88.0741833333333,16.8238333333333,-88.0737666666667,"mixed","2",90,2,"ebb","near","190","191",29,135,"4","2",629,309.590351092952,0.621296851732246,14.0302389055753,0.775723297470646,0.0363208721344849,0.963679127865515,2.05133406985738e-254,TRUE,606,98.7540760182125,0.798679867986799,617,0.292601748696945,0.295969427318981,0.15365899390531,87.0019888888889,87.004,86.823,2161.77777777778,3456,1024,88.0209052104142,FALSE,9,280.590351092952,219.590351092952,8.84267851843932,58.6612778489584,-250.929073243994,16.8234666666667,-88.073975,16.8175333,-88.0766,203.865233151805,-105.725117941147,16.8154833,-88.0816,223.684725245431,-85.9056258475207,-48,95,FALSE,214.590351092952
"123","214","7/16/2016","7/16/2016","7/16/2016","9:48:00","10:08:00","B","18",1,"5","56",6,16.8188166666667,-88.0728666666667,16.8194666666667,-88.0732,"light clouds","4",80,3,"ebb","near","1911","192",333,126,"5","5",378,90.5776037151078,1.66847951977101,3.67193416245419,0.237770530337492,0.148905221522271,0.851094778477729,1.21977738211033e-119,TRUE,368,87.1047216415653,0.695652173913043,373,0.246876161051072,0.4151629459139,0.155587454084488,85.9251111111111,86.097,85.915,661.333333333333,992,288,71.1425328662824,FALSE,8.4,-242.422396284892,10.5776037151078,28.7620456615023,76.6740925784154,-13.9035111366924,16.8191416666667,-88.0730333333333,16.8175333,-88.0766,245.727295161273,155.149691446165,16.8154833,-88.0816,246.875255141033,156.297651425925,-79,95,FALSE,-4.4223962848922
"124","216","7/16/2016","7/16/2016","7/16/2016","10:40:00","11:00:00","B","18",5,"5","56",6,16.8210666666667,-88.0729833333333,16.8219833333333,-88.0735166666667,"mixed","4",70,3,"ebb","near","193","194",330,8,"4","4",174,3.48354468857849,1.02164129426495,18.5829900598741,1.96368457784954,0.0272888273865783,0.972711172613422,3.16788536712273e-72,TRUE,153,105.056029209157,0.843137254901961,162,0.207150365456101,0.238166498905642,0.147361839979115,86.0989777777778,86.277,85.915,987.022222222222,1344,256,50.70425029097,FALSE,0.533333333333333,-326.516455311422,-66.5164553114215,16.7342918231461,72.5567480812526,69.0732033926741,16.821525,-88.07325,16.8175333,-88.0766,220.004767168348,216.52122247977,16.8154833,-88.0816,234.112122325565,230.628577636987,-68,95,FALSE,-91.5164553114215
"125","218","7/16/2016","7/16/2016","7/16/2016","11:26:00","11:46:00","B","18",9,"11","64",4,16.8234166666667,-88.0731333333333,16.8243333333333,-88.0737666666667,"clear","4",80,3,"ebb","near","195","glitched",NA,1,"5","5",4,316.113769664625,28.394420267849,1.62643176703518,1.05767836021495,0.131912557890211,0.868087442109789,0.0374489480970577,TRUE,0,NA,NA,2,2.73169991325865,3.19613135962842,2.73169991325865,86.097,86.097,86.097,1097.6,1344,768,1.09318530717958,FALSE,0.0666666666666667,NA,236.113769664625,6.81077203531807,50.4264609274989,-265.687308737126,16.823875,-88.07345,16.8175333,-88.0766,206.414153171427,-109.699616493198,16.8154833,-88.0816,224.162878996557,-91.9508906680677,-57,96,FALSE,220.113769664625
